Model Indicator Name,Default Indicator Name,Unit of Entry,Note
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Agriculture,Energy|Final Energy Use by Sector|Agriculture,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|TCU,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Unspecified,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Coke,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Compressed Pipeline Gas (CNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Diesel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Electricity,Energy|Final Energy Use by Sector|Electricity,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Fuel Oil,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Gasoline,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Hydrogen,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Kerosene,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Kerosene-Jet Fuel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Liquified Pipeline Gas (LNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|LPG,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Pipeline Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Refinery and Process Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Waste Heat,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Wood,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Total,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Residential,Buildings|Energy Use By Sub-Sector|Residential,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Commercial,Buildings|Energy Use By Sub-Sector|Commercial,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Transportation,Energy|Final Energy Use by Sector|Transportation,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Industrial,Energy|Final Energy Use by Sector|Industry,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Oil & Gas Extraction,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Petroleum Refining,,EJ,
